"No.","Time","Source","Destination","Protocol","Length","Info","Response time"
"520","31.282499200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=54/13824, ttl=116 (request in 519)","6.5955"
"552","32.358727600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=55/14080, ttl=116 (request in 551)","64.5327"
"563","33.320783000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=56/14336, ttl=116 (request in 562)","7.4773"
"570","34.326000500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=57/14592, ttl=116 (request in 569)","7.6134"
"578","35.349366200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=58/14848, ttl=116 (request in 577)","8.4388"
"583","36.367267500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=59/15104, ttl=116 (request in 582)","6.383"
"612","37.370729400","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=60/15360, ttl=116 (request in 611)","6.0169"
"617","38.393337300","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=61/15616, ttl=116 (request in 616)","8.5105"
"624","39.410742200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=62/15872, ttl=116 (request in 623)","6.3859"
"631","40.429119900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=63/16128, ttl=116 (request in 630)","7.3494"
"636","41.445656700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=64/16384, ttl=116 (request in 635)","6.2627"
"663","42.450212900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=65/16640, ttl=116 (request in 662)","7.0677"
"669","43.471921400","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=66/16896, ttl=116 (request in 668)","6.8228"
"676","44.491844100","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=67/17152, ttl=116 (request in 675)","9.1335"
"681","45.508850800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=68/17408, ttl=116 (request in 680)","7.2705"
"686","46.528638500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=69/17664, ttl=116 (request in 685)","6.333"
"694","47.547172600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=70/17920, ttl=116 (request in 693)","6.0803"
"699","48.569296800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=71/18176, ttl=116 (request in 698)","7.3924"
"706","49.589872800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=72/18432, ttl=116 (request in 705)","7.7862"
"709","50.608378700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=73/18688, ttl=116 (request in 708)","6.1014"
"716","51.651219500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=74/18944, ttl=116 (request in 715)","28.0854"
"728","52.647106000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=75/19200, ttl=116 (request in 727)","6.3443"
"736","53.666188000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=76/19456, ttl=116 (request in 735)","4.8847"
"744","54.680442900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=77/19712, ttl=116 (request in 743)","7.098"
"751","55.705148800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=78/19968, ttl=116 (request in 750)","6.6319"
"760","56.725723400","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=79/20224, ttl=116 (request in 759)","9.0065"
"766","57.740781800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=80/20480, ttl=116 (request in 765)","6.4535"
"774","58.757786800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=81/20736, ttl=116 (request in 772)","6.0423"
"779","59.772782600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=82/20992, ttl=116 (request in 777)","7.1757"
"782","60.792691500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=83/21248, ttl=116 (request in 781)","10.8419"
"790","61.821435700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=84/21504, ttl=116 (request in 788)","23.3518"
"793","62.826631300","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=85/21760, ttl=116 (request in 792)","9.8816"
"796","63.846785800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=86/22016, ttl=116 (request in 795)","7.5818"
"800","64.863824000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=87/22272, ttl=116 (request in 799)","6.1363"
"807","65.878116100","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=88/22528, ttl=116 (request in 806)","7.0343"
"810","66.882235900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=89/22784, ttl=116 (request in 809)","7.7545"
"813","67.903074800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=90/23040, ttl=116 (request in 812)","6.6215"
"818","68.924411500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=91/23296, ttl=116 (request in 817)","6.8013"
"824","69.970885300","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=92/23552, ttl=116 (request in 822)","37.3461"
"831","70.967613600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=93/23808, ttl=116 (request in 829)","13.0838"
"833","71.982922400","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=94/24064, ttl=116 (request in 832)","6.9519"
"842","73.005881800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=95/24320, ttl=116 (request in 841)","7.8758"
"857","74.026624300","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=96/24576, ttl=116 (request in 856)","8.7258"
"864","75.043168500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=97/24832, ttl=116 (request in 863)","9.0501"
"869","76.059268700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=98/25088, ttl=116 (request in 868)","6.6962"
"880","77.076822300","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=99/25344, ttl=116 (request in 879)","8.2412"
"887","78.094680800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=100/25600, ttl=116 (request in 886)","9.555"
"893","79.112559800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=101/25856, ttl=116 (request in 892)","8.7756"
"905","80.134545400","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=102/26112, ttl=116 (request in 904)","10.3565"
"912","81.153249200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=103/26368, ttl=116 (request in 911)","7.2425"
"917","82.172652200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=104/26624, ttl=116 (request in 916)","7.4426"
"924","83.195139500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=105/26880, ttl=116 (request in 923)","8.7923"
"935","84.211461900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=106/27136, ttl=116 (request in 934)","8.1061"
"938","85.228860200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=107/27392, ttl=116 (request in 937)","8.4532"
"942","86.249317500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=108/27648, ttl=116 (request in 941)","8.0696"
"946","87.273677100","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=109/27904, ttl=116 (request in 945)","13.3129"
"950","88.295000700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=110/28160, ttl=116 (request in 949)","15.5279"
"955","89.315084200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=111/28416, ttl=116 (request in 954)","16.0658"
"963","90.335862200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=112/28672, ttl=116 (request in 962)","15.9326"
"968","91.344894500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=113/28928, ttl=116 (request in 967)","6.268"
"976","92.371896800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=114/29184, ttl=116 (request in 975)","8.4636"
"981","93.390725700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=115/29440, ttl=116 (request in 980)","12.4991"
"987","94.407800500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=116/29696, ttl=116 (request in 986)","11.4889"
"990","95.424894600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=117/29952, ttl=116 (request in 989)","11.2385"
"995","96.439296500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=118/30208, ttl=116 (request in 994)","9.2793"
"997","97.455129800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=119/30464, ttl=116 (request in 996)","7.2402"
"999","98.474461400","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=120/30720, ttl=116 (request in 998)","6.3823"
"1007","99.523174600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=121/30976, ttl=116 (request in 1004)","33.9957"
"1016","100.538065500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=122/31232, ttl=116 (request in 1015)","31.8817"
"1025","101.532831700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=123/31488, ttl=116 (request in 1024)","6.7193"
"1029","102.551796600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=124/31744, ttl=116 (request in 1028)","5.83"
"1035","103.576089200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=125/32000, ttl=116 (request in 1034)","7.2747"
"1038","104.598046400","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=126/32256, ttl=116 (request in 1037)","8.0658"
"1047","105.614614200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=127/32512, ttl=116 (request in 1046)","6.7374"
"1053","106.633349300","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=128/32768, ttl=116 (request in 1052)","8.1344"
