"No.","Time","Source","Destination","Protocol","Length","Info","Response time"
"170","20.852923300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=146/37376, ttl=116 (request in 169)","7.0771"
"204","21.874095000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=147/37632, ttl=116 (request in 203)","5.866"
"208","22.898641000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=148/37888, ttl=116 (request in 207)","6.9259"
"211","23.914317200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=149/38144, ttl=116 (request in 210)","6.3321"
"214","24.930386200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=150/38400, ttl=116 (request in 213)","5.7303"
"216","25.945187200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=151/38656, ttl=116 (request in 215)","6.7814"
"218","26.967145500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=152/38912, ttl=116 (request in 217)","11.6657"
"220","27.993397600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=153/39168, ttl=116 (request in 219)","5.9765"
"222","29.010177700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=154/39424, ttl=116 (request in 221)","5.8693"
"225","30.026166900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=155/39680, ttl=116 (request in 224)","7.7822"
"227","31.041571700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=156/39936, ttl=116 (request in 226)","6.972"
"231","32.065226300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=157/40192, ttl=116 (request in 230)","5.8197"
"235","33.090990700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=158/40448, ttl=116 (request in 234)","6.1974"
"240","34.116895000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=159/40704, ttl=116 (request in 239)","7.6032"
"248","35.134462900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=160/40960, ttl=116 (request in 246)","5.7938"
"256","36.151562600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=161/41216, ttl=116 (request in 254)","8.1695"
"262","37.187201300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=162/41472, ttl=116 (request in 261)","15.9312"
"275","38.210787500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=163/41728, ttl=116 (request in 274)","21.4336"
"280","39.263229100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=164/41984, ttl=116 (request in 279)","56.4485"
"283","40.246680500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=165/42240, ttl=116 (request in 282)","11.8552"
"286","41.259858700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=166/42496, ttl=116 (request in 285)","7.0791"
"288","42.289808900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=167/42752, ttl=116 (request in 287)","7.2452"
"294","43.306247600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=168/43008, ttl=116 (request in 293)","7.38"
"296","44.322682400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=169/43264, ttl=116 (request in 295)","7.612"
"299","45.337029900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=170/43520, ttl=116 (request in 298)","7.0151"
"302","46.352595600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=171/43776, ttl=116 (request in 301)","6.907"
"307","47.370483300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=172/44032, ttl=116 (request in 306)","8.9047"
"312","48.384663500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=173/44288, ttl=116 (request in 311)","7.075"
"315","49.400770600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=174/44544, ttl=116 (request in 314)","6.7425"
"319","50.415308000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=175/44800, ttl=116 (request in 318)","6.9796"
"327","51.430231000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=176/45056, ttl=116 (request in 326)","5.5875"
"333","52.447678400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=177/45312, ttl=116 (request in 332)","5.882"
"336","53.462968800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=178/45568, ttl=116 (request in 335)","6.3669"
"338","54.494611200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=179/45824, ttl=116 (request in 337)","6.7119"
"343","55.516095600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=180/46080, ttl=116 (request in 342)","11.6223"
"347","56.524391200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=181/46336, ttl=116 (request in 346)","6.567"
"353","57.541730800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=182/46592, ttl=116 (request in 350)","6.4143"
"359","58.557664300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=183/46848, ttl=116 (request in 358)","7.037"
"361","59.576000000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=184/47104, ttl=116 (request in 360)","10.3449"
"365","60.591096600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=185/47360, ttl=116 (request in 364)","8.8999"
"369","61.606910400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=186/47616, ttl=116 (request in 368)","8.8376"
"374","62.641462500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=187/47872, ttl=116 (request in 373)","27.2438"
"377","63.636765600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=188/48128, ttl=116 (request in 376)","7.1114"
"381","64.688990000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=189/48384, ttl=116 (request in 380)","30.8902"
"387","65.682566300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=190/48640, ttl=116 (request in 386)","7.4995"
"395","66.700041600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=191/48896, ttl=116 (request in 394)","6.7502"
"402","67.721724700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=192/49152, ttl=116 (request in 401)","9.0144"
"407","68.727783400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=193/49408, ttl=116 (request in 406)","7.2735"
"413","69.741602300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=194/49664, ttl=116 (request in 412)","5.7495"
"417","70.761956800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=195/49920, ttl=116 (request in 416)","5.9245"
"421","71.776007500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=196/50176, ttl=116 (request in 420)","6.3952"
"424","72.791621600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=197/50432, ttl=116 (request in 423)","5.7225"
"429","73.808744700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=198/50688, ttl=116 (request in 428)","5.7571"
"439","74.825086600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=199/50944, ttl=116 (request in 438)","6.5988"
"443","75.841358200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=200/51200, ttl=116 (request in 442)","6.3245"
"449","76.858480900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=201/51456, ttl=116 (request in 448)","6.9397"
"460","77.889216700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=202/51712, ttl=116 (request in 459)","6.7312"
"463","78.916199900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=203/51968, ttl=116 (request in 462)","7.4923"
"468","79.935855700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=204/52224, ttl=116 (request in 467)","5.9629"
"472","80.945748100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=205/52480, ttl=116 (request in 471)","6.785"
"477","81.966724600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=206/52736, ttl=116 (request in 476)","6.1113"
"484","82.985207000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=207/52992, ttl=116 (request in 483)","6.4734"
"490","84.094275700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=208/53248, ttl=116 (request in 487)","93.217"
"497","85.091538500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=209/53504, ttl=116 (request in 494)","71.4166"
"499","86.074510100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=210/53760, ttl=116 (request in 498)","40.7476"
"502","87.057730800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=211/54016, ttl=116 (request in 501)","8.0179"
"511","88.071256800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=212/54272, ttl=116 (request in 509)","5.8996"
"532","89.095229800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=213/54528, ttl=116 (request in 531)","6.2733"
"539","90.118298000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=214/54784, ttl=116 (request in 538)","6.7668"
"542","91.134721200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=215/55040, ttl=116 (request in 541)","5.6291"
"545","92.159196100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=216/55296, ttl=116 (request in 544)","6.6395"
"547","93.180957100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=217/55552, ttl=116 (request in 546)","6.807"
"550","94.196986100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=218/55808, ttl=116 (request in 549)","6.7047"
"557","95.210646700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=219/56064, ttl=116 (request in 556)","6.8547"
"560","96.227933300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=220/56320, ttl=116 (request in 559)","6.4377"
"566","97.243409500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=221/56576, ttl=116 (request in 565)","6.5108"
"576","98.258696800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=222/56832, ttl=116 (request in 575)","5.9172"
"582","99.275617400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=223/57088, ttl=116 (request in 581)","7.185"
"588","100.292768200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=224/57344, ttl=116 (request in 587)","8.3287"
"593","101.305422500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=225/57600, ttl=116 (request in 592)","6.3033"
"603","102.328429100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=226/57856, ttl=116 (request in 601)","5.9165"
"608","103.337708300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=227/58112, ttl=116 (request in 607)","7.1394"
"613","104.355372600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=228/58368, ttl=116 (request in 612)","10.4706"
"619","105.368395700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=229/58624, ttl=116 (request in 618)","7.4111"
"627","106.385345000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=230/58880, ttl=116 (request in 626)","8.2745"
"632","107.396178500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=231/59136, ttl=116 (request in 631)","7.6828"
"637","108.415712000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=232/59392, ttl=116 (request in 636)","7.3076"
"640","109.432799400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=233/59648, ttl=116 (request in 639)","7.699"
"644","110.462460600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=234/59904, ttl=116 (request in 643)","8.3428"
"649","111.477089000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=235/60160, ttl=116 (request in 648)","5.5511"
"654","112.493224500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=236/60416, ttl=116 (request in 653)","6.1987"
"661","113.508800600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=237/60672, ttl=116 (request in 660)","7.0651"
"668","114.524602800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=238/60928, ttl=116 (request in 667)","6.4773"
"672","115.539637000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=239/61184, ttl=116 (request in 671)","6.2081"
"679","116.557406500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=240/61440, ttl=116 (request in 678)","7.1826"
"687","117.571690300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=241/61696, ttl=116 (request in 686)","7.7352"
"698","118.587449000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=242/61952, ttl=116 (request in 696)","8.3064"
"706","119.603103100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=243/62208, ttl=116 (request in 704)","7.5688"
"715","120.635357400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=244/62464, ttl=116 (request in 713)","8.3438"
"723","121.649368100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=245/62720, ttl=116 (request in 721)","7.2574"
"729","122.664725900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=246/62976, ttl=116 (request in 728)","6.6964"
"739","123.680673600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=247/63232, ttl=116 (request in 738)","7.0477"
"749","124.696345100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=248/63488, ttl=116 (request in 748)","6.4831"
"758","125.712395200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=249/63744, ttl=116 (request in 757)","7.1752"
"766","126.732426900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=250/64000, ttl=116 (request in 765)","7.9"
"774","127.746942000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=251/64256, ttl=116 (request in 773)","6.3244"
"785","128.776019500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=252/64512, ttl=116 (request in 784)","7.5282"
"796","129.790911500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=253/64768, ttl=116 (request in 795)","6.8331"
"857","130.823232700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=254/65024, ttl=116 (request in 856)","23.1429"
"862","131.821133100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=255/65280, ttl=116 (request in 861)","5.8862"
"868","132.838478200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=256/1, ttl=116 (request in 867)","7.1178"
"875","133.852150900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=257/257, ttl=116 (request in 874)","5.439"
"885","134.873330300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=258/513, ttl=116 (request in 884)","9.3481"
"892","135.887176400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=259/769, ttl=116 (request in 890)","7.2964"
"897","136.920082300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=260/1025, ttl=116 (request in 896)","9.0074"
"910","137.932069500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=261/1281, ttl=116 (request in 908)","5.6537"
"914","138.947754500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=262/1537, ttl=116 (request in 913)","5.8427"
"919","139.960090400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=263/1793, ttl=116 (request in 918)","6.3968"
"924","140.981723200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=264/2049, ttl=116 (request in 923)","7.2472"
"937","141.995381700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=265/2305, ttl=116 (request in 936)","6.2241"
"942","143.012328700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=266/2561, ttl=116 (request in 941)","6.9399"
"947","144.027510700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=267/2817, ttl=116 (request in 946)","6.4313"
"954","145.043650200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=268/3073, ttl=116 (request in 953)","7.4747"
"959","146.060216400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=269/3329, ttl=116 (request in 958)","6.1652"
"967","147.075452300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=270/3585, ttl=116 (request in 966)","7.4902"
"972","148.091475700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=271/3841, ttl=116 (request in 971)","5.9361"
"976","149.105911000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=272/4097, ttl=116 (request in 975)","7.2813"
"981","150.139616300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=273/4353, ttl=116 (request in 980)","7.2634"
"988","151.148324500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=274/4609, ttl=116 (request in 987)","5.9816"
"995","152.165784900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=275/4865, ttl=116 (request in 994)","7.3208"
"999","153.179504800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=276/5121, ttl=116 (request in 998)","6.54"
"1003","154.202829200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=277/5377, ttl=116 (request in 1002)","7.3785"
"1010","155.229897500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=278/5633, ttl=116 (request in 1009)","8.278"
"1014","156.241172000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=279/5889, ttl=116 (request in 1013)","6.4148"
"1018","157.257393200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=280/6145, ttl=116 (request in 1017)","6.1042"
"1030","158.266347000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=281/6401, ttl=116 (request in 1029)","7.1046"
"1035","159.283418300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=282/6657, ttl=116 (request in 1034)","7.6499"
"1042","160.303262100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=283/6913, ttl=116 (request in 1041)","5.1045"
"1046","161.321104300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=284/7169, ttl=116 (request in 1045)","5.6183"
"1053","162.336907100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=285/7425, ttl=116 (request in 1052)","5.3349"
"1057","163.352224100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=286/7681, ttl=116 (request in 1056)","5.918"
"1062","164.367442600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=287/7937, ttl=116 (request in 1061)","6.4539"
"1068","165.386046700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=288/8193, ttl=116 (request in 1067)","6.2158"
"1114","166.409580700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=289/8449, ttl=116 (request in 1113)","5.3537"
"1155","167.422731100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=290/8705, ttl=116 (request in 1153)","7.2894"
"1163","168.445050200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=291/8961, ttl=116 (request in 1160)","5.4715"
"1167","169.470285100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=292/9217, ttl=116 (request in 1165)","6.3723"
"1172","170.494988500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=293/9473, ttl=116 (request in 1170)","7.4489"
"1176","171.510692400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=294/9729, ttl=116 (request in 1175)","6.4029"
"1181","172.523904000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=295/9985, ttl=116 (request in 1180)","6.2589"
"1187","173.539545400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=296/10241, ttl=116 (request in 1186)","5.9096"
"1194","174.557160500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=297/10497, ttl=116 (request in 1193)","5.7917"
"1201","175.572354100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=298/10753, ttl=116 (request in 1200)","7.3035"
"1210","176.587689800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=299/11009, ttl=116 (request in 1209)","6.8046"
"1218","177.600147800","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=300/11265, ttl=116 (request in 1217)","4.7344"
"1233","178.616777300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=301/11521, ttl=116 (request in 1232)","4.7999"
"1237","179.632577500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=302/11777, ttl=116 (request in 1236)","5.5504"
"1243","180.649098900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=303/12033, ttl=116 (request in 1242)","6.2913"
"1247","181.666612100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=304/12289, ttl=116 (request in 1246)","6.0424"
"1253","182.695107700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=305/12545, ttl=116 (request in 1252)","5.6012"
"1267","183.713165500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=306/12801, ttl=116 (request in 1266)","5.9048"
"1283","184.739660400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=307/13057, ttl=116 (request in 1282)","6.9714"
"1298","185.759469100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=308/13313, ttl=116 (request in 1296)","6.8595"
"1311","186.778013500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=309/13569, ttl=116 (request in 1307)","8.66"
"1322","187.804248300","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=310/13825, ttl=116 (request in 1320)","6.5431"
